w	r	wave	priority	status	parity_status	cutover_status	python_handler	parity_fixture	notes
users	login_auto	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.users.login_auto	tests/fixtures/parity/users/login_auto	python_handler_ported_no_parity
users	users_avatar_get	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.users.users_avatar_get	tests/fixtures/parity/users/users_avatar_get	python_handler_ported_no_parity
users	users_avatar_upload	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.users.users_avatar_upload	tests/fixtures/parity/users/users_avatar_upload	python_handler_ported_no_parity
users	users_confirm_session_vilidity	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.users.users_confirm_session_vilidity	tests/fixtures/parity/users/users_confirm_session_vilidity	python_handler_ported_no_parity
users	users_get_list	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.users.users_get_list	tests/fixtures/parity/users/users_get_list	python_handler_ported_no_parity
users	users_get_my_details	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.users.users_get_my_details	tests/fixtures/parity/users/users_get_my_details	python_handler_ported_no_parity
users	users_log_me_in	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.users.users_log_me_in	tests/fixtures/parity/users/users_log_me_in	python_handler_ported_no_parity
users	users_log_me_out	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.users.users_log_me_out	tests/fixtures/parity/users/users_log_me_out	python_handler_ported_no_parity
users	users_personal_bg_get	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.users.users_personal_bg_get	tests/fixtures/parity/users/users_personal_bg_get	python_handler_ported_no_parity
users	users_personal_bg_upload	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.users.users_personal_bg_upload	tests/fixtures/parity/users/users_personal_bg_upload	python_handler_ported_no_parity
users	users_recover_pwd	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.users.users_recover_pwd	tests/fixtures/parity/users/users_recover_pwd	python_handler_ported_no_parity
users	users_register	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.users.users_register	tests/fixtures/parity/users/users_register	python_handler_ported_no_parity
users	users_update_profile	W1_CORE	P0	in_progress	captured	not_cutover	python_api.handlers.users.users_update_profile	tests/fixtures/parity/users/users_update_profile	python_handler_ported_no_parity
